Home,Away,Miles,,,,,,
Man United,Crystal Palace,228,,,,,,
Man United,Cardiff,189,,,,,,
Man United,Leicester,108,,,,,,
Man United,Bournemouth,250,,,,,,
Man United,Watford,184,,,,,,
Man United,Brighton,259,,,,,,
Man United,Huddersfield,37,,,,,,
Man United,Sheffield United,47.5,,,,,,
Man United,Leeds,45.5,,,,,,
Blackburn,Fulham,227,,,,,,
Blackburn,Liverpool,40,,,,,,
Blackburn,Newcastle,128,,,,,,
Blackburn,Stoke,71.1,,,,,,
Blackburn,Tottenham,224,,,,,,
Blackburn,West Brom,106,,,,,,
Blackburn,Man City,27.2,,,,,,
Blackburn,Wigan,19.9,,,,,,
Blackburn,Portsmouth,268,,,,,,
Blackburn,Wolves,99.3,,,,,,
Blackburn,Birmingham,112,,,,,,
Blackburn,Burnley,14.9,,,,,,
Blackburn,Blackpool,27.4,,,,,,
Blackburn,QPR,223,,,,,,
Blackburn,Swansea,251,,,,,,
Blackburn,Norwich,227,,,,,,
Blackburn,Reading,224,,,,,,
Blackburn,Southampton,250,,,,,,
Blackburn,Crystal Palace,253,,,,,,
Blackburn,Cardiff,214,,,,,,
Blackburn,Leicester,133,,,,,,
Blackburn,Bournemouth,275,,,,,,
Blackburn,Watford,209,,,,,,
Blackburn,Brighton,284,,,,,,
Blackburn,Huddersfield,44.4,,,,,,
Blackburn,Sheffield United,64.2,,,,,,
Blackburn,Leeds,55.9,,,,,,
Fulham,Liverpool,215,,,,,,
Fulham,Newcastle,281,,,,,,
Fulham,Stoke,161,,,,,,
Fulham,Tottenham,19.3,,,,,,
Fulham,West Brom,127,,,,,,
Fulham,Man City,205,,,,,,
Fulham,Wigan,207,,,,,,
Fulham,Portsmouth,69.4,,,,,,
Fulham,Wolves,138,,,,,,
Fulham,Birmingham,122,,,,,,
Fulham,Burnley,240,,,,,,
Fulham,Blackpool,243,,,,,,
Fulham,QPR,3.1,,,,,,
Fulham,Swansea,186,,,,,,
Fulham,Norwich,130,,,,,,
Fulham,Reading,38.7,,,,,,
Fulham,Southampton,76.9,,,,,,
Fulham,Crystal Palace,9.3,,,,,,
Fulham,Cardiff,148,,,,,,
Fulham,Leicester,105,,,,,,
