Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HPA,APA,HPG,APG,HCR,ACR,HP,AP,HSZA,HSZB,HSZC,ASZA,ASZB,ASZC,FTHG_P,FTAG_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-10-09,Wigan,Man City,1,1,D,1,0,H,A Wiley,13,5,7,4,15,11,6,6,2,1,0,1,0,0,0,0,21,24,56.2,43.8,2,4,7,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-10-09,Fulham,Hull,2,0,H,1,0,H,A Marriner,17,5,11,2,13,15,7,4,1,1,0,0,0,0,0,0,28,14,59.5,40.5,2,7,9,0,1,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-10-09,Birmingham,Sunderland,2,1,H,1,0,H,M Atkinson,19,14,13,6,9,14,6,8,3,1,0,0,0,0,0,0,26,39,44.7,55.3,1,9,9,1,5,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-10-09,Burnley,Wigan,1,3,A,1,1,D,L Mason,12,13,9,8,12,11,7,4,2,0,0,0,0,0,0,0,21,9,48.4,51.6,2,6,4,3,2,8,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-10-09,Chelsea,Blackburn,5,0,H,1,0,H,A Wiley,26,5,15,2,8,10,8,0,0,1,0,0,1,0,1,0,32,18,68.1,31.9,1,9,16,0,2,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-10-09,Hull,Portsmouth,0,0,D,0,0,D,S Attwell,7,8,3,2,16,23,6,6,2,1,0,0,0,0,0,0,25,29,43.8,56.2,0,1,6,0,5,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-10-09,Tottenham,Stoke,0,1,A,0,0,D,L Probert,22,8,12,2,8,18,7,1,0,3,0,0,0,0,0,0,32,11,63.7,36.3,2,8,11,0,4,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-10-09,Wolves,Aston Villa,1,1,D,0,0,D,P Walton,8,12,4,8,10,16,8,3,1,2,0,0,1,0,1,0,23,25,48.4,51.6,2,4,2,0,10,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-10-09,Bolton,Everton,3,2,H,2,1,H,P Dowd,12,17,8,12,14,15,4,4,3,1,0,0,0,0,0,0,28,20,43.5,56.5,1,6,6,1,9,7,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-10-09,Liverpool,Man United,2,0,H,0,0,D,A Marriner,11,7,6,5,20,11,5,1,2,3,1,1,0,0,0,0,25,20,43.8,56.2,1,5,6,0,4,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-10-09,Man City,Fulham,2,2,D,0,0,D,K Friend,20,11,7,5,11,12,14,2,0,2,0,0,0,0,0,0,37,10,57.3,42.7,4,8,8,0,7,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-10-09,West Ham,Arsenal,2,2,D,0,2,A,C Foy,15,15,9,10,17,15,6,8,3,2,1,0,1,0,1,0,26,26,46.9,53.1,1,6,8,2,8,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-10-09,Arsenal,Tottenham,3,0,H,2,0,H,M Clattenburg,18,7,12,5,10,10,6,2,1,1,0,0,0,0,0,0,18,15,52,48,2,10,6,0,3,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-10-09,Bolton,Chelsea,0,4,A,0,1,A,P Walton,15,27,6,17,9,7,8,10,1,1,1,0,0,1,0,1,35,24,34.6,65.4,0,5,10,2,16,10,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-10-09,Burnley,Hull,2,0,H,1,0,H,M Jones,11,8,5,6,12,13,8,1,1,4,0,1,1,0,1,0,29,12,59.3,40.7,1,5,5,0,2,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-10-09,Everton,Aston Villa,1,1,D,1,0,H,L Probert,9,13,4,8,15,16,3,4,1,3,1,1,0,0,0,0,28,31,47.7,52.3,0,5,4,1,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-10-09,Fulham,Liverpool,3,1,H,1,1,D,L Mason,10,6,6,3,10,13,2,2,1,0,0,2,0,0,0,0,10,18,35.8,64.2,1,5,4,0,1,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-10-09,Man United,Blackburn,2,0,H,0,0,D,P Dowd,20,2,11,1,10,21,7,2,0,2,0,0,0,0,0,0,32,10,65.6,34.4,0,11,9,0,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
